"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1887272430219251877","Wed Feb 05 22:49:45 +0000 2025","0","Yailah @CurhatKRL ini krl jaraknye lumayan jauh yg masuk cuman sf08 @CommuterLine @PTKAI https://t.co/0I5ne5JRNB","1887272430219251877","https://pbs.twimg.com/media/GjDwQbSbgAAFQHH.jpg","","in","Bogor, Jawa Barat","0","1","0","https://x.com/UltrasLineBogor/status/1887272430219251877","1592480125651587072","UltrasLineBogor"
"1886755390421164450","Tue Feb 04 12:35:13 +0000 2025","1","Manajer Humas PT KAI Daop 4 Semarang Franoto Wibowo di Semarang Selasa mengatakan satu dari dua jalur rel perlintasan tersebut telah selesai diperbaiki pada Selasa petang. #jalurkeretagrobogan #ptkai #semarang https://t.co/E667svtVBV","1886755390421164450","","","in","NKRI","0","0","0","https://x.com/antaranews/status/1886755390421164450","18071520","antaranews"
"1886491990021521759","Tue Feb 04 11:46:11 +0000 2025","0","@likromiahooy keren sama ptkai dah","1886743047368794602","","likromiahooy","in","","0","0","0","https://x.com/bramonowijaya/status/1886743047368794602","1740647019927224320","bramonowijaya"
"1886733835406336194","Tue Feb 04 11:09:34 +0000 2025","0","@CurhatKRL Sisi kanan kiri lagi tunggu krl Di st tebet ini bkn soal gapeka 2025 tapi krl yg dipake cuman sf08!! @CommuterLine @PTKAI https://t.co/PNSOdrUp96","1886733835406336194","https://pbs.twimg.com/media/Gi8GaJJa4AMHC_s.jpg","CurhatKRL","in","Bogor, Jawa Barat","0","0","0","https://x.com/UltrasLineBogor/status/1886733835406336194","1592480125651587072","UltrasLineBogor"
"1886715007511224634","Tue Feb 04 09:54:45 +0000 2025","0","ΡΤ ΚΑΙ Commuter bakal segera mengoperasikan 12 rangkaian KRL baru yang baru saja datang dari China setelah melewati serangkaian uji coba oleh Kemenhub https://t.co/K1JFslFrhs #PTKAI #Kemenhub #Bahlil","1886715007511224634","","","in","","0","0","0","https://x.com/ArgumenID_/status/1886715007511224634","1219126943624261633","ArgumenID_"
"1886264883035136215","Mon Feb 03 04:06:07 +0000 2025","2","KERETA API (KA) rute Semarang-Surabaya masih menerapkan pola perjalanan memutar. PT KAI menyebut ada 30 perjalanan KA Semarang-Surabaya harus memutar hingga 5 Februari. #keretaapi #ptkai #Semarang #Surabaya #grobogan https://t.co/R1QZjkxGOz","1886264883035136215","","","in","","0","0","0","https://x.com/NusantaraB16913/status/1886264883035136215","1885187110040461312","NusantaraB16913"
"1886197460055515597","Sun Feb 02 23:38:12 +0000 2025","1","Hari Senin jadwal gapeka 2025 bbrp jadwal krl bogor ilang bikin jarak krl jauh krl yg masuk cuman sf08 lagih yg masuk akal lah kalo buat jadwal @CommuterLine @PTKAI @CurhatKRL","1886197460055515597","","","in","Bogor, Jawa Barat","0","1","0","https://x.com/UltrasLineBogor/status/1886197460055515597","1592480125651587072","UltrasLineBogor"
"1885975957091344562","Sun Feb 02 08:58:02 +0000 2025","1","#konteksinfo - Daftar Kereta Api Pengangkut Penumpang Terbanyak di 2024. (Zd) #ka #kai #ptkai #keretaapi #keretaapiindonesia #keretaapiindonesiapersero #ptkeretaapiindonesia #ptkeretaapiindonesiapersero #kajoglosemarkerto #kamatarmaja #kakertajaya #kajayakarta #stasiunmalang https://t.co/bdbA7Xau6N","1885975957091344562","https://pbs.twimg.com/media/GixVIfVbgAA1XKI.jpg","","in","DKI Jakarta","0","0","1","https://x.com/kontekscoid/status/1885975957091344562","1565270466238902274","kontekscoid"
"1885955581594505668","Sun Feb 02 07:37:04 +0000 2025","1","Solo menggebrak lagi !!! Unit baru kereta api jurusan solo - wonogiri semoga sukses dan semakin menambah manfaat di dunia transportasi soloraya #ptkai #keretaapi #citytrain #railfans #keretasolowonogiri #stasiunpurwosari #cfdsolo https://t.co/SBPiV1asZJ","1885955581594505668","https://pbs.twimg.com/amplify_video_thumb/1885955124637687808/img/J5SlEiyqNQOlxayO.jpg","","in","Indonesia","0","0","0","https://x.com/maxdwi87/status/1885955581594505668","490998579","maxdwi87"
"1885704661950460319","Sat Feb 01 15:00:00 +0000 2025","1","Siap-siap! KAI resmi menghadirkan 5 kereta api baru gais. Yuk kepoin daftar kereta api barunya! #Kereta #PTKAI #MedcomId #MudaMemberiArti https://t.co/K0fMhMIcSq","1885704661950460319","","","in","Jakarta Capital Region, Indone","0","0","0","https://x.com/medcom_id/status/1885704661950460319","902837643024539651","medcom_id"
